Date,Time,Last,High,Low,Volume,# of Trades,Bid Volume,Ask Volume,Delta,GLOBEX VWAP,IB High Ext 1,IB High,IB Mid,IB High Ext 3,IB High Ext 2,IB Low Ext 1,IB Low Ext 2,US POC,US VWAP,ON POC,GLOBEX VWAP
2023/2/9,16:15:00.0,4093.00,4093.25,4090.25,3495,1646,1727,1768,Delta,4093.00,0,0,0,0,0,0,0,0.00,0.00,4072.50,4093.00
2023/2/9,16:20:00.0,4094.75,4095.25,4092.75,2070,1124,867,1203,Delta,4093.65,0,0,0,0,0,0,0,0.00,0.00,4072.50,4093.65
2023/2/9,16:25:00.0,4095.75,4096.00,4094.25,1203,644,446,757,Delta,4094.02,0,0,0,0,0,0,0,0.00,0.00,4072.50,4094.02
2023/2/9,16:30:00.0,4095.50,4097.00,4094.75,1416,906,729,687,Delta,4094.28,0,0,0,0,0,0,0,0.00,0.00,4072.50,4094.28
2023/2/9,16:35:00.0,4096.50,4097.00,4095.25,1285,826,643,642,Delta,4094.58,0,0,0,0,0,0,0,0.00,0.00,4072.50,4094.58
2023/2/9,16:40:00.0,4095.00,4097.00,4094.75,1336,726,827,509,Delta,4094.63,0,0,0,0,0,0,0,0.00,0.00,4072.50,4094.63
2023/2/9,16:45:00.0,4096.00,4096.25,4095.00,1143,718,586,557,Delta,4094.76,0,0,0,0,0,0,0,0.00,0.00,4072.50,4094.76
2023/2/9,16:50:00.0,4096.25,4096.50,4095.00,868,531,438,430,Delta,4094.86,0,0,0,0,0,0,0,0.00,0.00,4072.50,4094.86
2023/2/9,16:55:00.0,4097.75,4097.75,4096.00,1472,735,650,822,Delta,4095.16,0,0,0,0,0,0,0,0.00,0.00,4072.50,4095.16
2023/2/9,18:00:00.0,4095.00,4098.25,4094.00,1443,977,697,746,Delta,4095.15,0,0,0,0,0,0,0,0.00,0.00,4072.50,4095.15
2023/2/9,18:05:00.0,4097.25,4097.25,4094.50,627,437,242,385,Delta,4095.23,0,0,0,0,0,0,0,0.00,0.00,4072.50,4095.23
2023/2/9,18:10:00.0,4096.25,4097.50,4095.75,778,535,415,363,Delta,4095.27,0,0,0,0,0,0,0,0.00,0.00,4072.50,4095.27
2023/2/9,18:15:00.0,4095.00,4097.25,4095.00,747,580,453,294,Delta,4095.26,0,0,0,0,0,0,0,0.00,0.00,4072.50,4095.26
2023/2/9,18:20:00.0,4097.00,4097.25,4094.50,785,596,383,402,Delta,4095.34,0,0,0,0,0,0,0,0.00,0.00,4072.50,4095.34
